Owner,TableName,SCD2  By Adam,NR_OF_COLUMN_ON_PREPROD,PrimaryKey_Column,Primary_Key,Data Availabilty in Database(UAT),Incremental Identifie,Extraction_Mechanism,Insert_Mechanism,HistoricalData_Identification,Merge_Key,Comments
GENEVA_ADMIN,PAYMENTALLOCATIONTOINVOICE,,,"ACCOUNT_NUM,PAID_BILL_SEQ,ACCOUNT_PAYMENT_SEQ",DEFINED,YES,,,SCD-2,,"ACCOUNT_NUM
PAID_BILL_SEQ
ACCOUNT_PAYMENT_SEQACCOUNT_NUM
PAID_BILL_SEQ
ACCOUNT_PAYMENT_SEQ",
NC-RBM-CUSTOM,VFHU_TELCOTAXEXEMPTION,,,,,YES,,,TRUNCATE LOAD,,,
NC-RBM-CUSTOM,VFHU_TELCOTAXRATE,,,,,YES,,,TRUNCATE LOAD,,,
NC-TOMS,R_PM_PARTNER_ACCOUNT,,,OBJECT_ID,DEFINED,YES,,FULL EXTRACT,SCD-2,,OBJECT_ID,PULLED BACK TABLES
NC-TOMS,R_PM_PARTNER_ORG,,,OBJECT_ID,DEFINED,YES,,FULL EXTRACT,SCD-2,,OBJECT_ID,PULLED BACK TABLES
NC-TOMS,R_RI_DEVICE,,,OBJECT_ID,DEFINED,YES,,FULL EXTRACT,SCD-2,,OBJECT_ID,PULLED BACK TABLES
NC-TOMS,R_RI_DEVICE_PORT,,,OBJECT_ID,DEFINED,YES,,FULL EXTRACT,SCD-2,,OBJECT_ID,PULLED BACK TABLES
NC-TOMS,R_RI_NUM_ALLOCATION_POOL,,,OBJECT_ID,DEFINED,YES,,FULL EXTRACT,SCD-2,,OBJECT_ID,PULLED BACK TABLES
NC-TOMS,R_RI_NUMBER_CATEGORY,,,OBJECT_ID,DEFINED,YES,,FULL EXTRACT,SCD-2,,OBJECT_ID,PULLED BACK TABLES
NC-TOMS,R_RI_PHONE_NUMBERS_POOL,,,OBJECT_ID,DEFINED,YES,,FULL EXTRACT,SCD-2,,OBJECT_ID,PULLED BACK TABLES
